lat,lon,station_id,color,station_name,date,Параметр,"Қауіпті деңгей, см","Нақты деңгей, см","Нақты шығын, м³/с","Судың температурасы,°C",Су объектінің күй коды,param
48.0053,85.2228,11001,lightblue,Қара Ертіс өзені – Боран ауылы,2026-03-25,Мәні,560,288,132,NA,539 540,level
50.3894,80.9969,11002,lightblue,Ертіс өзені – Баженово ауылы,2026-03-25,Мәні,NA,267,,0.6,600,level
48.02389,85.42806,11003,lightblue,"Қара Ертіс ө. - ҚХР шекарасында (ҚХР шекарасынан 7,5 км төмен)",2026-03-25,Мәні,NA,NA,NA,NA,NA,level
47.39218,85.68813,11004,lightblue,Үлкен Ұласты ө.,2026-03-25,Мәні,NA,NA,NA,NA,NA,level
50.0631,82.3947,11005,lightblue,Ертіс өзені – Уварово ауылы,2026-03-25,Мәні,NA,205,,0.4,546,level
48.83606,82.72606,11007,lightblue,Талменка ө. – Преображенка а.,2026-03-25,Мәні,NA,100,NA,NA,NA 546,level
49.8908,82.698,11019,lightblue,Ертіс өзені – Абылайкит ауылы,2026-03-25,Мәні,350,209,,3,600,level
50.3792,80.2631,11025,lightblue,Ертіс өзені – Семей қ.,2026-03-25,Мәні,450,261,,NA,565,level
50.8861,78.3122,11027,lightblue,Ертіс өзені – Семиярка ауылы,2026-03-25,Мәні,550,263,660,NA,566 708,level
52.2648,76.9377,11037,lightblue,Ертіс өзені – Павлодар қ.,2026-03-25,Мәні,800,354,,NA,565,level
53.3258,75.4719,11040,lightblue,Ертіс өзені – Ертіс а.,2026-03-25,Мәні,1262,170,,NA,565,level
53.7057,75.083,11041,lightblue,Ертіс өзені - Прииртышское ауылы,2026-03-25,Мәні,1967,480,613,NA,565,level
48.4348,85.8389,11063,lightblue,БасТеректі өзені – Мойылды ауылы (Николаевка),2026-03-25,Мәні,NA,104,3.17,0.1,NA 563,level
48.1366,85.1963,11068,lightblue,Қалжыр өзені – Қалжыр ауылы,2026-03-25,Мәні,NA,379,12.7,0,NA 564,level
47.283,84.1061,11077,lightblue,Қандысу өзені – Сарыөлең ауылы,2026-03-25,Мәні,NA,75,4.17,0.1,NA 513,level
47.738,82.8379,11087,lightblue,Қарғыбы өзені (Қарабұға) – Есім ауылы,2026-03-25,Мәні,NA,412,,0,NA 564,level
47.8785,82.01,11089,lightblue,Бұғаз өзені – Қызыл-Кесік ауылы,2026-03-25,Мәні,NA,265,,0.2,NA 537,level
49.0097,82.7882,11094,lightblue,Үлкен Бөкен өзені – Джумба ауылы,2026-03-25,Мәні,NA,235,0.44,0,NA 565,level
48.6059,83.8701,11108,lightblue,Күршім өзені – Вознесенка ауылы,2026-03-25,Мәні,350,200,15.1,0.2,540 537,level
48.7556,84.675,11110,lightblue,Күршім өзені – Маралды ауылы,2026-03-25,Мәні,NA,219,9.78,0.2,NA 563,level
49.0259,83.5528,11113,lightblue,Қайынды өзені – Миролюбовка ауылы,2026-03-25,Мәні,NA,109,NA,0.2,546,level
49.207,84.5177,11117,lightblue,Нарын өзені – Үлкен Нарын ауылы,2026-03-25,Мәні,NA,146,9.21,2.2,600,level
49.2092,84.6597,11118,lightblue,Нарын өзені – Юбилейное ауылы,2026-03-25,Мәні,NA,281,7.55,1,600,level
49.6242,84.351,11123,lightblue,Березовка өзені – Соловьево ауылы,2026-03-25,Мәні,290,85,0.3,0.2,564,level
49.3661,86.4492,11124,lightblue,Бұқтырма өзені – Берел ауылы,2026-03-25,Мәні,290,68,8.65,0,NA 565,level
49.332,85.1716,11126,lightblue,Бұқтырма өзені – Барлық ауылы (Печи ауылы),2026-03-25,Мәні,250,86,17.2,0.1,NA 537,level
49.73419,84.56333,11128,lightblue,Бұқтырма ө. – Быково а.,2026-03-25,Мәні,NA,337,NA,NA,NA 565,level
49.8295,84.3292,11129,lightblue,Бұқтырма өзені – Лесная пристань ауылы,2026-03-25,Мәні,580,320,35,0.1,563,level
49.3835,86.4299,11130,lightblue,Ақберел өзені – Берел ауылы,2026-03-25,Мәні,NA,242,,0.2,NA 563,level
49.2265,85.8874,11131,lightblue,Черновая өзені – Черновое ауылы,2026-03-25,Мәні,NA,497,1.51,0,NA 564,level
49.584583,84.786028,11135,lightblue,Бұқтырма өзені – Сенное ауылы,2026-03-25,Мәні,NA,230,NA,0,NA 564,level
49.2475,86.3346,11136,lightblue,Өрел өзені – Өрел ауылы,2026-03-25,Мәні,NA,138,1.68,1,NA 513,level
49.3784,85.4105,11143,lightblue,Ақсу өзені – Ақсу ауылы (Белая өзені – Белое ауылы),2026-03-25,Мәні,NA,121,4.45,0,NA 565,level
49.5116,84.391,11146,lightblue,Левая Березовка өзені – Средигорное ауылы,2026-03-25,Мәні,200,72,0.83,0,546,level
