lat,lon,station_id,color,station_name,date,Параметр,"Қауіпті деңгей, см","Нақты деңгей, см","Нақты шығын, м³/с","Судың температурасы,°C",Су объектінің күй коды,param
48.0053,85.2228,11001,lightblue,Қара Ертіс өзені – Боран ауылы,2026-03-25,Мәні,560.0,288.0,132.0,,539 540,level
48.4348,85.8389,11063,lightblue,БасТеректі өзені – Мойылды ауылы (Николаевка),2026-03-25,Мәні,,104.0,3.17,0.1,NA 563,level
48.1366,85.1963,11068,lightblue,Қалжыр өзені – Қалжыр ауылы,2026-03-25,Мәні,,379.0,12.7,0.0,NA 564,level
47.283,84.1061,11077,lightblue,Қандысу өзені – Сарыөлең ауылы,2026-03-25,Мәні,,75.0,4.17,0.1,NA 513,level
49.0097,82.7882,11094,lightblue,Үлкен Бөкен өзені – Джумба ауылы,2026-03-25,Мәні,,235.0,0.44,0.0,NA 565,level
48.6059,83.8701,11108,lightblue,Күршім өзені – Вознесенка ауылы,2026-03-25,Мәні,350.0,200.0,15.1,0.2,540 537,level
49.207,84.5177,11117,lightblue,Нарын өзені – Үлкен Нарын ауылы,2026-03-25,Мәні,,146.0,9.21,2.2,600,level
49.3661,86.4492,11124,lightblue,Бұқтырма өзені – Берел ауылы,2026-03-25,Мәні,290.0,68.0,8.65,0.0,NA 565,level
49.332,85.1716,11126,lightblue,Бұқтырма өзені – Барлық ауылы (Печи ауылы),2026-03-25,Мәні,250.0,86.0,17.2,0.1,NA 537,level
49.8295,84.3292,11129,lightblue,Бұқтырма өзені – Лесная пристань ауылы,2026-03-25,Мәні,580.0,320.0,35.0,0.1,563,level
49.2265,85.8874,11131,lightblue,Черновая өзені – Черновое ауылы,2026-03-25,Мәні,,497.0,1.51,0.0,NA 564,level
49.3784,85.4105,11143,lightblue,Ақсу өзені – Ақсу ауылы (Белая өзені – Белое ауылы),2026-03-25,Мәні,,121.0,4.45,0.0,NA 565,level
49.5116,84.391,11146,lightblue,Левая Березовка өзені – Средигорное ауылы,2026-03-25,Мәні,200.0,72.0,0.83,0.0,546,level
49.8915,84.0783,11147,lightblue,Тұрғысын өзені – Кутиха ауылы,2026-03-25,Мәні,,149.0,26.8,0.2,NA 563,level
49.3939,82.5608,11160,lightblue,Сибе өзені – Алғабас ауылы,2026-03-25,Мәні,,106.0,,1.0,NA 546,level
50.2677,83.3745,11163,lightblue,Үлбі өзені – Риддер қаласы,2026-03-25,Мәні,,319.0,,,563,level
50.0107,82.8419,11164,lightblue,Үлбі өзені – Перевалочная ауылы,2026-03-25,Мәні,380.0,98.0,28.0,0.2,545 564,level
50.1905,82.58,11170,lightblue,Глубочанка өзені – Белокаменка ауылы,2026-03-25,Мәні,334.0,224.0,0.93,0.4,546 546,level
49.9877,82.2633,11187,lightblue,Дресвянка өзені – Отрадное ауылы,2026-03-25,Мәні,,90.0,7.66,0.1,546,level
50.2473,82.2437,11188,lightblue,Красноярка өзені – Предгорное ауылы,2026-03-25,Мәні,350.0,184.0,2.17,0.4,515,level
50.7702,83.0361,11199,lightblue,Оба өзені – Қарақожа ауылы,2026-03-25,Мәні,,181.0,20.2,0.0,NA 565,level
50.613,81.8762,11207,lightblue,Оба өзені – Шемонаиха ауылы,2026-03-25,Мәні,430.0,169.0,43.3,0.2,539 566,level
49.8352,82.6463,11661,lightblue,Абылайкит өзені – Самсоновка ауылы,2026-03-25,Мәні,420.0,263.0,5.6,0.2,546,level
49.9785,82.4231,11668,lightblue,Ұлан өзені – Герасимовка ауылы,2026-03-25,Мәні,480.0,375.0,2.77,0.2,NA 537,level
48.0053,85.2228,11001,lightblue,Қара Ертіс өзені – Боран ауылы,2026-03-25,Мәні,560.0,288.0,132.0,,539 540,discharge
48.4348,85.8389,11063,lightblue,БасТеректі өзені – Мойылды ауылы (Николаевка),2026-03-25,Мәні,,104.0,3.17,0.1,NA 563,discharge
